Paper	Intervention	Outcome	Efficacy	eNNT	GRADE	AMSTAR	k	Design	Age	BD_stage	Comparison	Comparison_type	TE	seTE	Rank	Meta_review	invTE	TE_lo	TE_up	Intervention_acro	Comparison_acro	Outcome_acro
"<a href='https://doi.org/' target=""_blank"">Kishi T., 2021 (NMA)</a>"	paliperidone	Adverse events, Constipation	"eSMD=-0.3 [-0.7, 0.1] <br> <img src=""https://www.linkpicture.com/q/Diapositive7.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNH=5.95	"Low <br> <img src=""https://www.linkpicture.com/q/Diapositive3_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	High	27	Network meta-analysis	Adults	Mania/Mixed	placebo	mono	-0.3	0.2	III (Low)	Kishi T., 2021 (NMA)	0.3	-0.7	0.1	pal	pbo	AE, Constipation
"<a href='https://doi.org/' target=""_blank"">Kishi T., 2021 (NMA)</a>"	aripiprazole	Adverse events, Constipation	"eSMD=-0.3 [-0.53, -0.08] <br> <img src=""https://www.linkpicture.com/q/Diapositive7.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNH=5.95	"Moderate <br> <img src=""https://www.linkpicture.com/q/Diapositive2_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	High	27	Network meta-analysis	Adults	Mania/Mixed	placebo	mono	-0.3	0.11	II (Moderate)	Kishi T., 2021 (NMA)	0.3	-0.53	-0.08	ari	pbo	AE, Constipation
"<a href='https://doi.org/' target=""_blank"">Kishi T., 2021 (NMA)</a>"	carbamazepine	Adverse events, Constipation	"eSMD=-0.31 [-0.86, 0.26] <br> <img src=""https://www.linkpicture.com/q/Diapositive7.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNH=5.76	"Low <br> <img src=""https://www.linkpicture.com/q/Diapositive3_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	High	27	Network meta-analysis	Adults	Mania/Mixed	placebo	mono	-0.31	0.29	III (Low)	Kishi T., 2021 (NMA)	0.31	-0.86	0.26	cbz	pbo	AE, Constipation
"<a href='https://doi.org/' target=""_blank"">Kishi T., 2021 (NMA)</a>"	cariprazine	Adverse events, Constipation	"eSMD=-0.33 [-0.65, -0.02] <br> <img src=""https://www.linkpicture.com/q/Diapositive7.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNH=5.42	"Moderate <br> <img src=""https://www.linkpicture.com/q/Diapositive2_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	High	27	Network meta-analysis	Adults	Mania/Mixed	placebo	mono	-0.33	0.16	II (Moderate)	Kishi T., 2021 (NMA)	0.33	-0.65	-0.02	car	pbo	AE, Constipation
"<a href='https://doi.org/' target=""_blank"">Kishi T., 2021 (NMA)</a>"	olanzapine	Adverse events, Constipation	"eSMD=-0.36 [-0.7, -0.02] <br> <img src=""https://www.linkpicture.com/q/Diapositive6.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNH=4.98	"Moderate <br> <img src=""https://www.linkpicture.com/q/Diapositive2_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	High	27	Network meta-analysis	Adults	Mania/Mixed	placebo	mono	-0.36	0.17	II (Moderate)	Kishi T., 2021 (NMA)	0.36	-0.7	-0.02	ola	pbo	AE, Constipation
"<a href='https://doi.org/' target=""_blank"">Kishi T., 2021 (NMA)</a>"	lamotrigine	Adverse events, Constipation	"eSMD=-0.38 [-1.27, 0.49] <br> <img src=""https://www.linkpicture.com/q/Diapositive6.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNH=4.72	"Low <br> <img src=""https://www.linkpicture.com/q/Diapositive3_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	High	27	Network meta-analysis	Adults	Mania/Mixed	placebo	mono	-0.38	0.45	III (Low)	Kishi T., 2021 (NMA)	0.38	-1.27	0.49	lam	pbo	AE, Constipation
"<a href='https://doi.org/' target=""_blank"">Kishi T., 2021 (NMA)</a>"	quetiapine	Adverse events, Constipation	"eSMD=-0.58 [-0.92, -0.24] <br> <img src=""https://www.linkpicture.com/q/Diapositive4.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNH=3.14	"High <br> <img src=""https://www.linkpicture.com/q/Diapositive1_2.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	High	27	Network meta-analysis	Adults	Mania/Mixed	placebo	mono	-0.58	0.17	I (High)	Kishi T., 2021 (NMA)	0.58	-0.92	-0.24	que	pbo	AE, Constipation
"<a href='https://doi.org/' target=""_blank"">Kishi T., 2021 (NMA)</a>"	haloperidol	Adverse events, Constipation	"eSMD=-0.68 [-1.55, 0.22] <br> <img src=""https://www.linkpicture.com/q/Diapositive3.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNH=2.71	"Low <br> <img src=""https://www.linkpicture.com/q/Diapositive3_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	High	27	Network meta-analysis	Adults	Mania/Mixed	placebo	mono	-0.68	0.45	III (Low)	Kishi T., 2021 (NMA)	0.68	-1.55	0.22	hal	pbo	AE, Constipation
"<a href='https://doi.org/' target=""_blank"">Kishi T., 2021 (NMA)</a>"	divalproate	Adverse events, Constipation	"eSMD=-1.08 [-2.54, 0.56] <br> <img src=""https://www.linkpicture.com/q/Diapositive1.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNH=1.8	"Low <br> <img src=""https://www.linkpicture.com/q/Diapositive3_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	High	27	Network meta-analysis	Adults	Mania/Mixed	oxcarbazepine	mono	-1.08	0.79	III (Low)	Kishi T., 2021 (NMA)	1.08	-2.54	0.56	div	oxc	AE, Constipation
"<a href='https://doi.org/' target=""_blank"">Kishi T., 2021 (NMA)</a>"	haloperidol	Adverse events, Constipation	"eSMD=-0.32 [-1.17, 0.55] <br> <img src=""https://www.linkpicture.com/q/Diapositive7.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNH=5.59	"Low <br> <img src=""https://www.linkpicture.com/q/Diapositive3_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	High	27	Network meta-analysis	Adults	Mania/Mixed	olanzapine	mono	-0.32	0.44	III (Low)	Kishi T., 2021 (NMA)	0.32	-1.17	0.55	hal	ola	AE, Constipation
"<a href='https://doi.org/' target=""_blank"">Kishi T., 2021 (NMA)</a>"	lamotrigine	Adverse events, Constipation	"eSMD=-0.24 [-1.12, 0.66] <br> <img src=""https://www.linkpicture.com/q/Diapositive8.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNH=7.42	"Low <br> <img src=""https://www.linkpicture.com/q/Diapositive3_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	High	27	Network meta-analysis	Adults	Mania/Mixed	lithium	mono	-0.24	0.45	III (Low)	Kishi T., 2021 (NMA)	0.24	-1.12	0.66	lam	lit	AE, Constipation
"<a href='https://doi.org/' target=""_blank"">Kishi T., 2021 (NMA)</a>"	aripiprazole	Adverse events, Constipation	"eSMD=-0.16 [-0.48, 0.17] <br> <img src=""https://www.linkpicture.com/q/Diapositive9.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNH=11.1	"Low <br> <img src=""https://www.linkpicture.com/q/Diapositive3_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	High	27	Network meta-analysis	Adults	Mania/Mixed	lithium	mono	-0.16	0.17	III (Low)	Kishi T., 2021 (NMA)	0.16	-0.48	0.17	ari	lit	AE, Constipation
"<a href='https://doi.org/' target=""_blank"">Kishi T., 2021 (NMA)</a>"	lithium	Adverse events, Constipation	"eSMD=0.22 [-0.17, 0.61] <br> <img src=""https://www.linkpicture.com/q/Diapositive13.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNT=8.09	"Low <br> <img src=""https://www.linkpicture.com/q/Diapositive3_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	High	27	Network meta-analysis	Adults	Mania/Mixed	olanzapine	mono	0.22	0.2	III (Low)	Kishi T., 2021 (NMA)	-0.22	-0.17	0.61	lit	ola	AE, Constipation
"<a href='https://doi.org/' target=""_blank"">Kishi T., 2021 (NMA)</a>"	divalproate	Adverse events, Constipation	"eSMD=0.23 [-0.14, 0.62] <br> <img src=""https://www.linkpicture.com/q/Diapositive13.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNT=7.74	"Low <br> <img src=""https://www.linkpicture.com/q/Diapositive3_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	High	27	Network meta-analysis	Adults	Mania/Mixed	lithium	mono	0.23	0.19	III (Low)	Kishi T., 2021 (NMA)	-0.23	-0.14	0.62	div	lit	AE, Constipation
"<a href='https://doi.org/' target=""_blank"">Kishi T., 2021 (NMA)</a>"	paliperidone	Adverse events, Constipation	"eSMD=0.28 [-0.14, 0.7] <br> <img src=""https://www.linkpicture.com/q/Diapositive14.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNT=6.37	"Low <br> <img src=""https://www.linkpicture.com/q/Diapositive3_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	High	27	Network meta-analysis	Adults	Mania/Mixed	quetiapine	mono	0.28	0.21	III (Low)	Kishi T., 2021 (NMA)	-0.28	-0.14	0.7	pal	que	AE, Constipation
"<a href='https://doi.org/' target=""_blank"">Kishi T., 2021 (NMA)</a>"	lithium	Adverse events, Constipation	"eSMD=0.44 [0.08, 0.79] <br> <img src=""https://www.linkpicture.com/q/Diapositive15.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNT=4.09	"High <br> <img src=""https://www.linkpicture.com/q/Diapositive1_2.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	High	27	Network meta-analysis	Adults	Mania/Mixed	quetiapine	mono	0.44	0.18	I (High)	Kishi T., 2021 (NMA)	-0.44	0.08	0.79	lit	que	AE, Constipation
"<a href='https://doi.org/' target=""_blank"">Kishi T., 2021 (NMA)</a>"	divalproate	Adverse events, Constipation	"eSMD=0.45 [0.13, 0.78] <br> <img src=""https://www.linkpicture.com/q/Diapositive16.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNT=4.01	"High <br> <img src=""https://www.linkpicture.com/q/Diapositive1_2.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	High	27	Network meta-analysis	Adults	Mania/Mixed	olanzapine	mono	0.45	0.17	I (High)	Kishi T., 2021 (NMA)	-0.45	0.13	0.78	div	ola	AE, Constipation
"<a href='https://doi.org/' target=""_blank"">Suttajit S., 2014 (MA)</a>"	quetiapine	Adverse events, Constipation	"eSMD=-0.39 [-0.56, -0.22] <br> <img src=""https://www.linkpicture.com/q/Diapositive6.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNH=4.6	"Moderate <br> <img src=""https://www.linkpicture.com/q/Diapositive2_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	5	Pairwise meta-analysis	Mixed (Children-Adults)	Bipolar Depression	placebo	mono	-0.39	0.09	II (Moderate)	Suttajit S., 2014 (MA)	0.39	-0.56	-0.22	que	pbo	AE, Constipation
"<a href='https://doi.org/' target=""_blank"">Vita A., 2013 (MA)</a>"	asenapine	Adverse events, Constipation	"eSMD=-0.18 [-0.56, 0.21] <br> <img src=""https://www.linkpicture.com/q/Diapositive8.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNH=9.87	"Very Low <br> <img src=""https://www.linkpicture.com/q/Diapositive4_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	2	Pairwise meta-analysis	Adults	Mania/Mixed	olanzapine	mono	-0.18	0.2	IV (Very Low)	Vita A., 2013 (MA)	0.18	-0.56	0.21	ase	ola	AE, Constipation
"<a href='https://doi.org/' target=""_blank"">Kishi T., 2021 (NMA)</a>"	ziprasidone	Adverse events, Depression, incidence	"eSMD=0.68 [-0.31, 1.65] <br> <img src=""https://www.linkpicture.com/q/Diapositive18.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNT=2.71	"Low <br> <img src=""https://www.linkpicture.com/q/Diapositive3_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	High	19	Network meta-analysis	Adults	Mania/Mixed	placebo	mono	0.68	0.5	III (Low)	Kishi T., 2021 (NMA)	-0.68	-0.31	1.65	zip	pbo	AE, Depression, incidence
"<a href='https://doi.org/' target=""_blank"">Kishi T., 2021 (NMA)</a>"	asenapine	Adverse events, Depression, incidence	"eSMD=0.42 [-0.4, 1.22] <br> <img src=""https://www.linkpicture.com/q/Diapositive15.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNT=4.28	"Low <br> <img src=""https://www.linkpicture.com/q/Diapositive3_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	High	19	Network meta-analysis	Adults	Mania/Mixed	placebo	mono	0.42	0.41	III (Low)	Kishi T., 2021 (NMA)	-0.42	-0.4	1.22	ase	pbo	AE, Depression, incidence
"<a href='https://doi.org/' target=""_blank"">Kishi T., 2021 (NMA)</a>"	quetiapine	Adverse events, Depression, incidence	"eSMD=0.33 [-0.01, 0.68] <br> <img src=""https://www.linkpicture.com/q/Diapositive14.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNT=5.42	"Low <br> <img src=""https://www.linkpicture.com/q/Diapositive3_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	High	19	Network meta-analysis	Adults	Mania/Mixed	placebo	mono	0.33	0.18	III (Low)	Kishi T., 2021 (NMA)	-0.33	-0.01	0.68	que	pbo	AE, Depression, incidence
"<a href='https://doi.org/' target=""_blank"">Kishi T., 2021 (NMA)</a>"	olanzapine	Adverse events, Depression, incidence	"eSMD=0.3 [-0.08, 0.68] <br> <img src=""https://www.linkpicture.com/q/Diapositive14.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNT=5.95	"Low <br> <img src=""https://www.linkpicture.com/q/Diapositive3_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	High	19	Network meta-analysis	Adults	Mania/Mixed	placebo	mono	0.3	0.19	III (Low)	Kishi T., 2021 (NMA)	-0.3	-0.08	0.68	ola	pbo	AE, Depression, incidence
"<a href='https://doi.org/' target=""_blank"">Kishi T., 2021 (NMA)</a>"	paliperidone	Adverse events, Depression, incidence	"eSMD=0.09 [-0.35, 0.53] <br> <img src=""https://www.linkpicture.com/q/Diapositive12.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNT=19.71	"Low <br> <img src=""https://www.linkpicture.com/q/Diapositive3_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	High	19	Network meta-analysis	Adults	Mania/Mixed	placebo	mono	0.09	0.22	III (Low)	Kishi T., 2021 (NMA)	-0.09	-0.35	0.53	pal	pbo	AE, Depression, incidence
"<a href='https://doi.org/' target=""_blank"">Kishi T., 2021 (NMA)</a>"	lithium	Adverse events, Depression, incidence	"eSMD=0.09 [-0.33, 0.51] <br> <img src=""https://www.linkpicture.com/q/Diapositive12.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNT=19.71	"Low <br> <img src=""https://www.linkpicture.com/q/Diapositive3_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	High	19	Network meta-analysis	Adults	Mania/Mixed	placebo	mono	0.09	0.21	III (Low)	Kishi T., 2021 (NMA)	-0.09	-0.33	0.51	lit	pbo	AE, Depression, incidence
"<a href='https://doi.org/' target=""_blank"">Kishi T., 2021 (NMA)</a>"	lamotrigine	Adverse events, Depression, incidence	"eSMD=0.01 [-0.95, 0.98] <br> <img src=""https://www.linkpicture.com/q/Diapositive11.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNT=177.25	"Low <br> <img src=""https://www.linkpicture.com/q/Diapositive3_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	High	19	Network meta-analysis	Adults	Mania/Mixed	placebo	mono	0.01	0.49	III (Low)	Kishi T., 2021 (NMA)	-0.01	-0.95	0.98	lam	pbo	AE, Depression, incidence
"<a href='https://doi.org/' target=""_blank"">Kishi T., 2021 (NMA)</a>"	aripiprazole	Adverse events, Depression, incidence	"eSMD=-0.04 [-0.42, 0.34] <br> <img src=""https://www.linkpicture.com/q/Diapositive10.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNH=44.32	"Low <br> <img src=""https://www.linkpicture.com/q/Diapositive3_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	High	19	Network meta-analysis	Adults	Mania/Mixed	placebo	mono	-0.04	0.19	III (Low)	Kishi T., 2021 (NMA)	0.04	-0.42	0.34	ari	pbo	AE, Depression, incidence
"<a href='https://doi.org/' target=""_blank"">Kishi T., 2021 (NMA)</a>"	haloperidol	Adverse events, Depression, incidence	"eSMD=-0.17 [-0.55, 0.21] <br> <img src=""https://www.linkpicture.com/q/Diapositive9.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNH=10.45	"Low <br> <img src=""https://www.linkpicture.com/q/Diapositive3_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	High	19	Network meta-analysis	Adults	Mania/Mixed	placebo	mono	-0.17	0.19	III (Low)	Kishi T., 2021 (NMA)	0.17	-0.55	0.21	hal	pbo	AE, Depression, incidence
"<a href='https://doi.org/' target=""_blank"">Kishi T., 2021 (NMA)</a>"	tamoxifen	Adverse events, Depression, incidence	"eSMD=-0.22 [-1.17, 0.74] <br> <img src=""https://www.linkpicture.com/q/Diapositive8.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNH=8.09	"Low <br> <img src=""https://www.linkpicture.com/q/Diapositive3_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	High	19	Network meta-analysis	Adults	Mania/Mixed	placebo	mono	-0.22	0.49	III (Low)	Kishi T., 2021 (NMA)	0.22	-1.17	0.74	tamox	pbo	AE, Depression, incidence
"<a href='https://doi.org/' target=""_blank"">Kishi T., 2021 (NMA)</a>"	carbamazepine	Adverse events, Depression, incidence	"eSMD=-0.36 [-1.77, 1.05] <br> <img src=""https://www.linkpicture.com/q/Diapositive6.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNH=4.98	"Low <br> <img src=""https://www.linkpicture.com/q/Diapositive3_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	High	19	Network meta-analysis	Adults	Mania/Mixed	placebo	mono	-0.36	0.72	III (Low)	Kishi T., 2021 (NMA)	0.36	-1.77	1.05	cbz	pbo	AE, Depression, incidence
"<a href='https://doi.org/' target=""_blank"">Kishi T., 2021 (NMA)</a>"	divalproate	Adverse events, Depression, incidence	"eSMD=-0.68 [-2.54, 1.12] <br> <img src=""https://www.linkpicture.com/q/Diapositive3.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNH=2.71	"Low <br> <img src=""https://www.linkpicture.com/q/Diapositive3_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	High	19	Network meta-analysis	Adults	Mania/Mixed	placebo	mono	-0.68	0.93	III (Low)	Kishi T., 2021 (NMA)	0.68	-2.54	1.12	div	pbo	AE, Depression, incidence
"<a href='https://doi.org/' target=""_blank"">Kishi T., 2021 (NMA)</a>"	haloperidol	Adverse events, Depression, incidence	"eSMD=-0.83 [-1.77, 0.09] <br> <img src=""https://www.linkpicture.com/q/Diapositive1.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNH=2.26	"Low <br> <img src=""https://www.linkpicture.com/q/Diapositive3_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	High	19	Network meta-analysis	Adults	Mania/Mixed	ziprasidone	mono	-0.83	0.47	III (Low)	Kishi T., 2021 (NMA)	0.83	-1.77	0.09	hal	zip	AE, Depression, incidence
"<a href='https://doi.org/' target=""_blank"">Kishi T., 2021 (NMA)</a>"	haloperidol	Adverse events, Depression, incidence	"eSMD=-0.51 [-0.98, -0.02] <br> <img src=""https://www.linkpicture.com/q/Diapositive5.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNH=3.55	"Moderate <br> <img src=""https://www.linkpicture.com/q/Diapositive2_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	High	19	Network meta-analysis	Adults	Mania/Mixed	quetiapine	mono	-0.51	0.24	II (Moderate)	Kishi T., 2021 (NMA)	0.51	-0.98	-0.02	hal	que	AE, Depression, incidence
"<a href='https://doi.org/' target=""_blank"">Kishi T., 2021 (NMA)</a>"	haloperidol	Adverse events, Depression, incidence	"eSMD=-0.47 [-0.98, 0.04] <br> <img src=""https://www.linkpicture.com/q/Diapositive5.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNH=3.84	"Low <br> <img src=""https://www.linkpicture.com/q/Diapositive3_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	High	19	Network meta-analysis	Adults	Mania/Mixed	olanzapine	mono	-0.47	0.26	III (Low)	Kishi T., 2021 (NMA)	0.47	-0.98	0.04	hal	ola	AE, Depression, incidence
"<a href='https://doi.org/' target=""_blank"">Kishi T., 2021 (NMA)</a>"	lithium	Adverse events, Depression, incidence	"eSMD=-0.24 [-0.74, 0.26] <br> <img src=""https://www.linkpicture.com/q/Diapositive8.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNH=7.42	"Low <br> <img src=""https://www.linkpicture.com/q/Diapositive3_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	High	19	Network meta-analysis	Adults	Mania/Mixed	quetiapine	mono	-0.24	0.26	III (Low)	Kishi T., 2021 (NMA)	0.24	-0.74	0.26	lit	que	AE, Depression, incidence
"<a href='https://doi.org/' target=""_blank"">Kishi T., 2021 (NMA)</a>"	paliperidone	Adverse events, Depression, incidence	"eSMD=-0.24 [-0.76, 0.27] <br> <img src=""https://www.linkpicture.com/q/Diapositive8.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNH=7.42	"Low <br> <img src=""https://www.linkpicture.com/q/Diapositive3_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	High	19	Network meta-analysis	Adults	Mania/Mixed	quetiapine	mono	-0.24	0.26	III (Low)	Kishi T., 2021 (NMA)	0.24	-0.76	0.27	pal	que	AE, Depression, incidence
"<a href='https://doi.org/' target=""_blank"">Kishi T., 2021 (NMA)</a>"	aripiprazole	Adverse events, Depression, incidence	"eSMD=-0.13 [-0.61, 0.35] <br> <img src=""https://www.linkpicture.com/q/Diapositive9.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNH=13.65	"Low <br> <img src=""https://www.linkpicture.com/q/Diapositive3_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	High	19	Network meta-analysis	Adults	Mania/Mixed	lithium	mono	-0.13	0.24	III (Low)	Kishi T., 2021 (NMA)	0.13	-0.61	0.35	ari	lit	AE, Depression, incidence
"<a href='https://doi.org/' target=""_blank"">Kishi T., 2021 (NMA)</a>"	lamotrigine	Adverse events, Depression, incidence	"eSMD=-0.08 [-1.12, 0.95] <br> <img src=""https://www.linkpicture.com/q/Diapositive10.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNH=22.17	"Low <br> <img src=""https://www.linkpicture.com/q/Diapositive3_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	High	19	Network meta-analysis	Adults	Mania/Mixed	lithium	mono	-0.08	0.53	III (Low)	Kishi T., 2021 (NMA)	0.08	-1.12	0.95	lam	lit	AE, Depression, incidence
"<a href='https://doi.org/' target=""_blank"">Kishi T., 2021 (NMA)</a>"	asenapine	Adverse events, Depression, incidence	"eSMD=0.11 [-0.72, 0.95] <br> <img src=""https://www.linkpicture.com/q/Diapositive12.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNT=16.13	"Low <br> <img src=""https://www.linkpicture.com/q/Diapositive3_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	High	19	Network meta-analysis	Adults	Mania/Mixed	olanzapine	mono	0.11	0.43	III (Low)	Kishi T., 2021 (NMA)	-0.11	-0.72	0.95	ase	ola	AE, Depression, incidence
"<a href='https://doi.org/' target=""_blank"">Kishi T., 2021 (NMA)</a>"	aripiprazole	Adverse events, Depression, incidence	"eSMD=0.12 [-0.27, 0.52] <br> <img src=""https://www.linkpicture.com/q/Diapositive12.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNT=14.79	"Low <br> <img src=""https://www.linkpicture.com/q/Diapositive3_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	High	19	Network meta-analysis	Adults	Mania/Mixed	haloperidol	mono	0.12	0.2	III (Low)	Kishi T., 2021 (NMA)	-0.12	-0.27	0.52	ari	hal	AE, Depression, incidence
"<a href='https://doi.org/' target=""_blank"">Kishi T., 2016 (MA)</a>"	risperidone LAI	Adverse events, Diabetes	"eSMD=-0.74 [-1.93, 0.47] <br> <img src=""https://www.linkpicture.com/q/Diapositive2.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNH=2.5	"Moderate <br> <img src=""https://www.linkpicture.com/q/Diapositive2_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	2	Pairwise meta-analysis	Adults	Maintenance	placebo	mono	-0.74	0.61	II (Moderate)	Kishi T., 2016 (MA)	0.74	-1.93	0.47	rispLAI	pbo	AE, Diabetes
"<a href='https://doi.org/' target=""_blank"">Cipriani A., 2013 (MA)</a>"	divalproate	Adverse events, Diarrhea	"eSMD=0.17 [0.01, 0.33] <br> <img src=""https://www.linkpicture.com/q/Diapositive12.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNT=10.45	"High <br> <img src=""https://www.linkpicture.com/q/Diapositive1_2.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Low	2	Pairwise meta-analysis	Mixed (Children-Adults)	Maintenance	lithium	mono	0.17	0.08	I (High)	Cipriani A., 2013 (MA)	-0.17	0.01	0.33	div	lit	AE, Diarrhea
